Url,Sum of StorageUsed,Sum of StorageMetrics.TotalSize,Sum of StorageMetrics.TotalFileStreamSize,Sum of StorageMetrics.MetadataSize,Sum of storageUsedInDrives,,Sum of numberOfDrives,Sum of fileCount,Sum of PreviousVersionSize
https://groverale.sharepoint.com/teams/atempblog1a,4183137,3478527,587685,217929,0,2672913,3,24,-587685
https://groverale.sharepoint.com/teams/atempblog2a,3364719,2680017,479445,164829,0,2035743,1,20,-479445
https://groverale.sharepoint.com/teams/atempprogramme1a,2898859,2523575,350025,120368,0,2053182,1,22,-350025
https://groverale.sharepoint.com/teams/atempprogramme2a,2843751,2496095,323821,119751,0,2052523,1,20,-323821
https://groverale.sharepoint.com/teams/atempprogramme2b,14398489,13483355,1189144,789272,0,11504939,3,122,-1189144
https://groverale.sharepoint.com/teams/atempproject1a,14508977,13616717,1146022,786011,0,11684684,8,129,-1146022
https://groverale.sharepoint.com/teams/atempproject2a,14469350,13554216,1190681,787217,0,11576318,3,122,-1190681
https://groverale.sharepoint.com/teams/atest,2941660,2549414,391197,112879,0,2045338,1,23,-391197
https://groverale.sharepoint.com/teams/migtest1,38409717872,38408771708,38377317804,9742198,38371344052,21711706,37,25161,-5973752
https://groverale.sharepoint.com/teams/proptest,31977112,31062708,8334947,896069,0,21831692,3,219,-8334947
https://groverale.sharepoint.com/teams/SP2010-Test-Data-AISC,37227213,36307201,8539787,1143713,9985,26623701,4,214,-8529802
https://groverale.sharepoint.com/teams/SP2010-Test-Data-CIOPMO,37491024,36551916,8609181,1151113,25117,26791622,4,214,-8584064
https://groverale.sharepoint.com/teams/SP2010-Test-Data-FCSO,37133502,36194394,8532817,1138187,0,26523390,3,212,-8532817
https://groverale.sharepoint.com/teams/SP2010-Test-Data-Home,37119199,36178208,8533283,1150252,0,26494673,3,212,-8533283
https://groverale.sharepoint.com/teams/tempcollaboration2,18237974,17320426,3312213,819190,2072612,13189023,4,124,-1239601
https://groverale.sharepoint.com/teams/TeraTest-0,325666435,324727327,54652973,1239020,25345,268835334,3,212,-54627628
https://groverale.sharepoint.com/teams/TeraTest-1,18371181,17428897,1927439,881962,0,14619496,3,147,-1927439
https://groverale.sharepoint.com/teams/TeraTest-2,18418039,17475755,1891163,884030,0,14700562,3,146,-1891163
https://groverale.sharepoint.com/teams/TeraTest-99,172391368,171451578,20734125,1103413,10517095,149614040,5,267,-10217030
https://groverale.sharepoint.com/teams/ValidatorSite-0,59571337,58624497,23351897,8899866,1967,26372734,4,17810,-23349930
https://groverale-admin.sharepoint.com/,10135167,9815355,9557825,-1653441,9141396,1910971,3,32,-416429
https://groverale-my.sharepoint.com/,13882411,13476071,1170758,271223,134232,12034090,5,203,-1036526
